"gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","significance"
"ASRGL1",0.270691999862835,3.3757899976374,4.43977967112193,1.11621819478388e-05,2.30336303494785e-05,2.26250873639746,"Not_significant"
"PAX3",0.285166847743176,2.89950099996109,4.43882552101816,1.12098243065198e-05,2.31263549280158e-05,2.2584462588966,"Not_significant"
"GTF2A2",0.253958433747,4.8855516139053,4.43847722173279,1.1227263956748e-05,2.31567402691583e-05,2.25696350820469,"Not_significant"
"RPS6KA3",0.251578671636697,4.57005076736329,4.43839830668694,1.12312189108893e-05,2.31581092680001e-05,2.2566275725472,"Not_significant"
"ASCC3",-0.255247952189965,3.0193583723595,-4.43835578495077,1.12333505089948e-05,2.31581092680001e-05,2.25644656286572,"Not_significant"
"SLC35A3",-0.189376251267665,3.10930872434917,-4.43788004590497,1.12572255519372e-05,2.32017286291255e-05,2.25442151056232,"Not_significant"
"DLG4",0.249315741431132,3.21260393839566,4.4376770023554,1.12674301143922e-05,2.32171581681601e-05,2.2535572871317,"Not_significant"
"DCK",-0.351930675956397,3.94545326733223,-4.43751810707189,1.12754220511717e-05,2.32280221271243e-05,2.25288099937711,"Not_significant"
"C1D",0.253539224933514,3.5696349595563,4.43663911220744,1.13197309143276e-05,2.33136777765304e-05,2.24914023764686,"Not_significant"
"TM2D2",0.204320334770524,3.89233032288499,4.43610315874399,1.13468293290107e-05,2.33638547008391e-05,2.24685970146784,"Not_significant"
"FAM118B",0.242811726997143,3.30968058194421,4.43469817264801,1.14181622004651e-05,2.35050670894607e-05,2.24088254890279,"Not_significant"
"MRTO4",-0.265696584829645,3.10795640066012,-4.43360216351488,1.14741058649987e-05,2.36145393236034e-05,2.23622107112955,"Not_significant"
"SRSF10",-0.21424791973433,3.66853363377769,-4.43340484747804,1.14842053187979e-05,2.3629630842653e-05,2.23538197166065,"Not_significant"
"LLPH",0.189864918239287,3.95904944148884,4.43191895397165,1.1560533382405e-05,2.37809527021004e-05,2.22906421710894,"Not_significant"
"LRRN4CL",0.336185575034811,2.90862378310227,4.43158937249489,1.15775291733623e-05,2.38101797904375e-05,2.22766315988918,"Not_significant"
"CCDC57",0.160657983696988,3.28983614771573,4.43049392430984,1.16341911006363e-05,2.39209499736482e-05,2.22300707866249,"Not_significant"
"PAH",0.250429262745606,2.50078531553822,4.42664566809857,1.1835353845905e-05,2.43287020933514e-05,2.20665890348538,"Not_significant"
"HCLS1",0.241861489259231,6.85334318428925,4.42610077158755,1.18641053695955e-05,2.43819355057063e-05,2.20434513080167,"Not_significant"
"CARHSP1",0.263508972908742,4.68554336850413,4.42539801899681,1.19012849314045e-05,2.44524596100855e-05,2.20136144778616,"Not_significant"
"POU3F3",0.299839382145919,2.64488743162431,4.42471846847599,1.1937343039242e-05,2.45206461996551e-05,2.19847668943571,"Not_significant"
"SLC25A43",-0.28751932631427,2.58514544119215,-4.42317325650259,1.2019724327298e-05,2.46839301465381e-05,2.19191863407193,"Not_significant"
"RPL11",-0.259375547198108,7.36186063686673,-4.42251547584524,1.20549580971562e-05,2.47503358432237e-05,2.18912757907699,"Not_significant"
"PDK4",0.509513307960337,3.24871291493526,4.42112232333003,1.21299085328455e-05,2.48982333042617e-05,2.18321750265717,"Up_in_Sepsis"
"WDR59",-0.200466476984242,3.52390125390599,-4.42023868622921,1.21776784537266e-05,2.49902815168859e-05,2.17946979886719,"Not_significant"
"ZNF33B",-0.21981244654093,3.18255454414842,-4.42003272733589,1.21888385596775e-05,2.50071751472989e-05,2.17859638012692,"Not_significant"
"INPP5B",-0.219615012916414,3.27714651473898,-4.41905239166969,1.22420934570179e-05,2.51104035101801e-05,2.17443954297076,"Not_significant"
"ID2",-0.302809379845559,4.81551396234642,-4.41625491516687,1.23952885677318e-05,2.54185257279706e-05,2.16258230776767,"Not_significant"
"SH3BGRL2",0.46776844435615,4.17777319010692,4.41533139094746,1.24462641612099e-05,2.55169328374686e-05,2.15866942757719,"Not_significant"
"ZFAND2A",0.289427994229516,4.37609935990909,4.41097952118877,1.26891862448897e-05,2.60030369041454e-05,2.14024114793377,"Not_significant"
"C1orf159",-0.159267582840462,3.02090114098072,-4.41097470374201,1.26894576532582e-05,2.60030369041454e-05,2.14022075742612,"Not_significant"
"MRFAP1L1",-0.29460218040335,4.58673265446074,-4.41030143425161,1.2727443435569e-05,2.60746208642828e-05,2.13737125354904,"Not_significant"
"MBTPS2",-0.236367308482481,2.88852542802996,-4.41020470888108,1.27329096019391e-05,2.60795637674248e-05,2.1369619120771,"Not_significant"
"SP3",0.225013602282133,4.41555368771797,4.40595957089381,1.29750374957711e-05,2.65691189765958e-05,2.11900465996701,"Not_significant"
"MLLT11",-0.246613644932152,3.56980245111983,-4.40510125223634,1.30245256615593e-05,2.66640636805795e-05,2.11537584682961,"Not_significant"
"CHCHD4",-0.206830023350418,3.38696800874173,-4.40502558143397,1.30288972748804e-05,2.66666215252225e-05,2.11505595591012,"Not_significant"
"TBC1D22A",-0.211246452708914,3.46787653546884,-4.40466136761401,1.30499580939962e-05,2.67033282416919e-05,2.11351634852466,"Not_significant"
"RIN1",0.263613095061713,3.37045129246591,4.40441341901835,1.30643144627127e-05,2.67263017547376e-05,2.11246828556808,"Not_significant"
"CHAMP1",-0.292337165633395,3.54719560044215,-4.4005952755132,1.32873047073342e-05,2.71759744984056e-05,2.09633610981783,"Not_significant"
"PHACTR4",-0.171526279576423,3.65199656208884,-4.39908643544324,1.33764253805264e-05,2.73516995870423e-05,2.08996461452162,"Not_significant"
"ZNF124",-0.210655743934169,2.92145185310847,-4.39867322146481,1.34009317448403e-05,2.73952508455436e-05,2.08822005573595,"Not_significant"
"ORAI2",0.316788717382412,4.21375410895282,4.39753965723349,1.34683804993418e-05,2.75265465051156e-05,2.0834350081494,"Not_significant"
"ADK",-0.248896522422307,3.18745617537448,-4.39676182754584,1.35148503135302e-05,2.76149130449428e-05,2.08015226023733,"Not_significant"
"FOXK1",-0.302571042282277,3.72160775538864,-4.39644358781457,1.3533907074587e-05,2.76472375804945e-05,2.07880931761902,"Not_significant"
"SSX2IP",0.246720698878414,3.06800075828288,4.39601152035144,1.35598211979663e-05,2.76935516144978e-05,2.07698617595841,"Not_significant"
"ELOVL5",-0.256668699336264,4.80832904599587,-4.39530835747119,1.36020963559791e-05,2.7773250054128e-05,2.0740194800732,"Not_significant"
