gene_symbol,dataset,n_control,n_sepsis,mean_control,mean_sepsis,median_control,median_sepsis,dataset_logFC,dataset_direction,auc,wilcox_p,heldout_dataset
GNLY,GSE54514,18,35,8.15735403692593,8.0888684272381,8.23682268466667,8.02759917566667,-0.0684856096878299,Down_in_Sepsis,0.444444444444444,0.520600333060429,GSE236713
GNLY,GSE57065,25,28,10.3966178,7.96240732142857,10.441,7.895085,-2.43421047857143,Down_in_Sepsis,0.0842857142857143,1.16465658125434e-08,GSE236713
GNLY,GSE65682,42,51,6.51919426080357,5.05028397886765,6.423854145125,4.983618095,-1.46891028193592,Down_in_Sepsis,0.180672268907563,1.31591298422381e-07,GSE236713
GNLY,GSE95233,22,51,11.0241741922727,8.14679967784314,10.97150678,8.166844705,-2.87737451442959,Down_in_Sepsis,0.00445632798573975,2.41819260539641e-11,GSE236713
GPR183,GSE137340,14,43,6.07481682480952,5.76299714488372,6.064974771,5.70024795566667,-0.311819679925803,Down_in_Sepsis,0.313953488372093,0.0377143793648217,GSE236713
GPR183,GSE54514,18,35,7.69109768330556,7.6143441268,7.60110473625,7.4851653575,-0.0767535565055555,Down_in_Sepsis,0.463492063492064,0.675476268134141,GSE236713
GPR183,GSE57065,25,28,7.730874,5.84445964285714,7.71563,5.765175,-1.88641435714286,Down_in_Sepsis,0.00714285714285714,4.20383668685061e-14,GSE236713
GPR183,GSE65682,42,51,4.16059465866667,3.35900663755882,4.050669064,3.1834406115,-0.801588021107843,Down_in_Sepsis,0.223155929038282,4.78279497877484e-06,GSE236713
GPR183,GSE95233,22,51,5.92948687681818,4.40194825372549,5.938862105,4.41436089,-1.52753862309269,Down_in_Sepsis,0.00445632798573975,2.41819260539641e-11,GSE236713
GLA,GSE137340,14,43,7.28061185971429,8.73848134283721,7.102133541,8.846975906,1.45786948312292,Up_in_Sepsis,0.893687707641196,1.16271413116417e-05,GSE236713
GLA,GSE54514,18,35,8.96371936805556,8.97981698174286,8.9635100365,8.92196846,0.0160976136873021,Up_in_Sepsis,0.473015873015873,0.756639937970471,GSE236713
GLA,GSE57065,25,28,7.2877836,7.99893607142857,7.29184,8.00531,0.711152471428571,Up_in_Sepsis,0.927142857142857,3.26467523300631e-09,GSE236713
GLA,GSE65682,42,51,4.60705202494444,5.06507052371896,4.59547661416667,5.11553418,0.458018498774511,Up_in_Sepsis,0.824929971988796,7.90621994484101e-08,GSE236713
GLA,GSE95233,22,51,8.20225829318182,9.1204415627451,8.246516965,9.10326591,0.918183269563279,Up_in_Sepsis,0.975935828877006,1.41972918224125e-10,GSE236713
HGF,GSE137340,14,43,4.2601195235,4.58234537560465,4.23308502416667,4.38070884,0.322225852104651,Up_in_Sepsis,0.926910299003322,8.95420161947516e-08,GSE236713
HGF,GSE54514,18,35,7.20112337008333,7.1720018046,7.1685459615,7.141106367,-0.0291215654833339,Down_in_Sepsis,0.433333333333333,0.439382697129536,GSE236713
HGF,GSE57065,25,28,3.54136744,5.47937307142857,3.51847,5.711298,1.93800563142857,Up_in_Sepsis,0.997142857142857,8.85018249863286e-15,GSE236713
HGF,GSE65682,42,51,3.05749881820833,3.76559557133824,2.837288876875,3.721770785,0.708096753129902,Up_in_Sepsis,0.749299719887955,3.81153364064026e-05,GSE236713
HGF,GSE95233,22,51,3.73173866318182,5.67914667031373,3.677977873,5.628819858,1.94740800713191,Up_in_Sepsis,0.99554367201426,2.41819260539641e-11,GSE236713
SLC40A1,GSE137340,14,43,6.08393146996429,7.18164538352326,5.747892758,7.211086533,1.09771391355897,Up_in_Sepsis,0.817275747508306,0.000221898960304589,GSE236713
SLC40A1,GSE54514,18,35,9.15927290947222,9.10222308302857,9.1913089745,9.097497941,-0.0570498264436505,Down_in_Sepsis,0.442857142857143,0.508552086621423,GSE236713
SLC40A1,GSE57065,25,28,6.7610822,7.84513285714286,6.797745,7.905115,1.08405065714286,Up_in_Sepsis,0.99,9.95645531096197e-14,GSE236713
SLC40A1,GSE65682,42,51,6.85902351092857,7.67899633965686,6.85073020025,7.668830264,0.819972828728291,Up_in_Sepsis,0.837535014005603,2.43725567359585e-08,GSE236713
