gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,global_direction
RECQL,0.172350811469483,5.92346550978845,3.48256284618163,0.000563911582530475,0.00112191214218327,-1.28469469577919,Up_in_Sepsis
SMAD5,-0.145779481248098,4.727903969153,-3.48134258721112,0.000566394419700922,0.00112658936624722,-1.28878262461718,Down_in_Sepsis
CERS6,0.199892975994836,5.58639443470668,3.48112833509581,0.000566831408349957,0.0011271960555802,-1.28950024269908,Up_in_Sepsis
TRIM69,0.120850981180775,4.92892292870416,3.48046235179273,0.000568191762810011,0.00112963823234644,-1.29173063171145,Up_in_Sepsis
PVR,0.0829431494303821,4.5147721612009,3.48005323867956,0.000569028941380302,0.00113103937359301,-1.29310056179161,Up_in_Sepsis
CHM,0.168605457987843,5.10121601051064,3.47902030972384,0.000571147787589842,0.00113498679706953,-1.29655869650076,Up_in_Sepsis
RPL36A,0.251497421211048,7.15212899276809,3.47773864474717,0.000573787126244436,0.00113996646784222,-1.30084824745294,Up_in_Sepsis
RAB40C,0.168361604440843,6.29185567393516,3.47671277477244,0.000575907920992943,0.00114391384958156,-1.30428063130966,Up_in_Sepsis
TAF8,0.163981675729259,4.89186502191337,3.47604850247259,0.000577285088590697,0.0011463826881314,-1.30650267019075,Up_in_Sepsis
GSK3B,0.210790579955322,6.96124933449544,3.4740071470028,0.000581536523662731,0.00115455682208354,-1.31332868420452,Up_in_Sepsis
CXCR6,-0.246155945314308,4.97212724494529,-3.47341916069762,0.000582766516490873,0.00115672991339729,-1.31529413935531,Down_in_Sepsis
CPEB2,0.154789387434152,5.16178168008865,3.47180604656255,0.000586153452314709,0.00116318230395444,-1.32068469105498,Up_in_Sepsis
KATNB1,0.14991328786339,5.25771406542452,3.47063380683963,0.00058862625684208,0.00116781808587415,-1.32460051135975,Up_in_Sepsis
FAAH,-0.111456028059017,4.67977998414438,-3.47009209324847,0.00058977227819662,0.00116982002509924,-1.32640966917612,Down_in_Sepsis
PHIP,0.215153092140524,6.90577978068886,3.46854874575188,0.000593048755382061,0.00117604583694409,-1.3315625398107,Up_in_Sepsis
RFX7,-0.163854452835033,4.83944150841489,-3.4677067981634,0.000594843350916899,0.00117933079391394,-1.33437270512516,Down_in_Sepsis
SPG21,0.157275286149365,7.53948348685208,3.46226102912211,0.000606574107245893,0.00120230899280278,-1.35253372042384,Up_in_Sepsis
ANKRD13A,0.190932913864474,9.02988282366717,3.46183470231199,0.000607501529598812,0.00120386788034883,-1.35395435213229,Up_in_Sepsis
ABHD5,0.292740845604508,6.70831946922594,3.46109816333837,0.000609106905108254,0.00120676921283452,-1.35640830837152,Up_in_Sepsis
TSPAN32,-0.156444737708364,5.81866697285805,-3.46002949062621,0.000611443259184694,0.00121111708643239,-1.35996798509631,Down_in_Sepsis
SPRED2,0.157924709743495,4.08184232861905,3.45663409240618,0.000618922059534922,0.00122550337116505,-1.37127104853092,Up_in_Sepsis
ZSCAN29,-0.138810591255461,5.49625888047721,-3.45660194606836,0.000618993272825904,0.00122550337116505,-1.37137801234937,Down_in_Sepsis
ZNF408,0.16589190425515,5.72579133587538,3.45649457290214,0.000619231190477975,0.00122569028919406,-1.37173527943533,Up_in_Sepsis
RCSD1,-0.216090521593871,7.09925992012279,-3.45523598819192,0.000622026345027037,0.00123093767675531,-1.37592225028706,Down_in_Sepsis
CEP63,-0.176296631234146,5.47624698002366,-3.45369189363152,0.000625471689080106,0.00123746900542812,-1.38105709917409,Down_in_Sepsis
IKBKG,0.166917130984075,6.36027261856383,3.45317710829403,0.000626624290251465,0.00123946226564098,-1.38276853110525,Up_in_Sepsis
SP110,-0.220740327901213,8.66118983307828,-3.45031579908192,0.000633067006787061,0.0012519160233777,-1.39227678736703,Down_in_Sepsis
GPHB5,0.122396145704704,4.41370261966565,3.45017367608865,0.000633388628656317,0.00125226210123926,-1.39274887731385,Up_in_Sepsis
C4BPA,0.373539527091886,4.894883717269,3.44985920179521,0.000634100821330583,0.00125328552944298,-1.39379340231862,Up_in_Sepsis
RBM43,-0.165327633768385,4.43624743255117,-3.44981554550757,0.000634199749239266,0.00125328552944298,-1.39393839949246,Down_in_Sepsis
POLL,-0.188712016198466,5.86981837611094,-3.44890852111351,0.000636258389460725,0.00125706289715107,-1.39695054583638,Down_in_Sepsis
RHOQ,0.197818505182808,7.41989956994656,3.44837862339815,0.000637463966953325,0.00125915350179194,-1.39870994767627,Up_in_Sepsis
TMEM18,-0.102876807628224,4.87080568088753,-3.44625210806083,0.000642323534551824,0.00126845903089182,-1.40576801788976,Down_in_Sepsis
SLC5A6,-0.155827651906697,5.51947704292097,-3.44509367729386,0.000644985352917833,0.00127342115101045,-1.40961123663698,Down_in_Sepsis
C3orf38,0.185437953612958,5.08465129658739,3.44469459261857,0.000645904745840852,0.00127494163028119,-1.41093496475778,Up_in_Sepsis
ZNF207,0.167616336231857,7.13960946509034,3.44423246095712,0.000646970913367782,0.00127668248391346,-1.41246763591993,Up_in_Sepsis
ZNF217,-0.25201429710904,8.0057384094377,-3.44414394516933,0.000647175312532575,0.00127668248391346,-1.41276117891462,Down_in_Sepsis
LIAS,-0.138752677231675,4.9190731006687,-3.44411805050339,0.000647235119464383,0.00127668248391346,-1.41284705150954,Down_in_Sepsis
ITGB2,0.206670675506013,10.6832566645329,3.44357551468938,0.000648489361072461,0.00127886114821517,-1.4146460854603,Up_in_Sepsis
NDUFAF4,-0.134433876432873,4.49980112000406,-3.44207686476704,0.000651965769918976,0.00128542004637072,-1.41961419819041,Down_in_Sepsis
ATP6V0D1,0.281548717189478,9.56029771065219,3.44098930334331,0.000654499472744264,0.00129011770060207,-1.42321826904806,Up_in_Sepsis
MUS81,0.14460114542803,7.06710149871428,3.43783340712922,0.000661903967548724,0.00130441204126296,-1.43367059998385,Up_in_Sepsis
BICD2,0.158787788429784,6.97263853840912,3.43728774051364,0.000663192140462584,0.0013066491514858,-1.43547694375805,Up_in_Sepsis
PINK1,0.259641817808254,8.00200931645744,3.43690533183228,0.000664096300243394,0.00130812880543792,-1.43674268879142,Up_in_Sepsis
SIRT2,0.127012245211572,5.41794576201063,3.43568946935936,0.000666978718258366,0.00131350362754086,-1.44076623514374,Up_in_Sepsis
SLC25A44,0.211587632508977,7.49378090204407,3.43427171387918,0.000670354515102106,0.00131984737516991,-1.44545621579209,Up_in_Sepsis
WDR33,-0.0960766960457899,5.03202649805927,-3.4341351235544,0.000670680589712299,0.00132018504649291,-1.44590796587175,Down_in_Sepsis
BRMS1,0.163016834752757,6.74323227220851,3.43338355217623,0.000672477426554388,0.00132341698161314,-1.44839336582646,Up_in_Sepsis
NANOS3,0.108909904341618,4.65784712362614,3.43230342379748,0.000675067643654229,0.00132820841844063,-1.45196439711054,Up_in_Sepsis
NADSYN1,0.206018136688246,6.60511719946961,3.43185611707026,0.00067614303965234,0.00133001789536403,-1.45344293960353,Up_in_Sepsis
SERPINE1,0.0953607185116701,4.22407162524519,3.4317643830606,0.000676363780297548,0.00133014576272654,-1.45374613808843,Up_in_Sepsis
KCTD12,0.239956759034669,8.12240646330364,3.43052807206609,0.000679345303249029,0.00133570171156767,-1.45783164728894,Up_in_Sepsis
ELOVL1,0.165817062727617,6.56875704004407,3.43001542182971,0.000680585221374014,0.00133783161697479,-1.45952534783652,Up_in_Sepsis
ARPP19,0.117019608075116,6.20968050190831,3.42844512357096,0.000684396376194724,0.0013450136790334,-1.46471185415084,Up_in_Sepsis
IFI30,0.269988439349525,10.819569799848,3.42833230111556,0.000684670965154669,0.00134524378039706,-1.46508440806316,Up_in_Sepsis
HEXA,-0.0872123348402818,5.11386877597493,-3.42825503821169,0.000684859068095223,0.00134530388698282,-1.46533953329068,Down_in_Sepsis
GTF2H5,0.223362934477302,5.22437647472189,3.42738209502489,0.000686987675829199,0.0013491749228,-1.4682216552269,Up_in_Sepsis
TSC1,-0.126680684387703,6.01235432746301,-3.42644393703801,0.000689282191098229,0.00135336992969425,-1.47131832986394,Down_in_Sepsis
RBM23,-0.185704415085805,7.64890108608207,-3.42587034531012,0.000690688585246625,0.00135581962918672,-1.47321125451026,Down_in_Sepsis
RASA2,0.213698078215852,6.49199217030395,3.4235901788921,0.000696305880984362,0.00136653229078296,-1.48073317325133,Up_in_Sepsis
NAV2,0.0967660902629568,4.02618076265527,3.42225672612797,0.000699610638913518,0.00137270261129344,-1.4851298692158,Up_in_Sepsis
NAA10,0.179776029288787,7.03962429258967,3.4217434348198,0.000700886651213243,0.00137489041984665,-1.48682188205951,Up_in_Sepsis
BEX2,-0.22751047714025,4.73961652659878,-3.42118737333554,0.000702271439229181,0.00137729055395096,-1.48865461589113,Down_in_Sepsis
ID2,-0.283133756148533,7.13346639388653,-3.42088398327025,0.000703028063365831,0.00137845791763259,-1.48965444819587,Down_in_Sepsis
PPAT,-0.162160674084251,4.80565847930395,-3.41987926137891,0.000705539174557814,0.00138306405551946,-1.49296495421599,Down_in_Sepsis
RNF43,-0.108803346601976,4.87476186919756,-3.41891776198081,0.000707950097302097,0.00138747172580478,-1.49613219677407,Down_in_Sepsis
UQCRC2,0.150201656287807,6.95603809599645,3.41834283748836,0.000709395369992669,0.00138998528449355,-1.49802563998746,Up_in_Sepsis
WDR12,0.142002020563599,4.81953734469402,3.41689813101202,0.000713039306965306,0.00139680475247493,-1.50278229502655,Up_in_Sepsis
ZFY,0.116095735809183,3.91280250098835,3.4164636293123,0.000714138649401087,0.0013986375153714,-1.50421251338687,Up_in_Sepsis
KIDINS220,0.220068527581537,6.28837396240831,3.4159058634226,0.000715552184210422,0.00140108464129785,-1.50604822352671,Up_in_Sepsis
TMEM168,0.208846373076123,5.58549285619453,3.41513889542929,0.000717500160297422,0.00140457686662853,-1.508572000622,Up_in_Sepsis
USP30,0.107394478590271,4.79795305768237,3.41438634214476,0.00071941633517627,0.00140800525177372,-1.51104783197686,Up_in_Sepsis
PTGER2,0.294513320347147,6.59340939755775,3.41426347727683,0.000719729630733772,0.00140829571044608,-1.51145199789575,Up_in_Sepsis
MAPRE2,-0.172044787425877,5.78428417539158,-3.41395939181881,0.000720505571905218,0.00140949108787047,-1.51245223357185,Down_in_Sepsis
TMEM43,-0.229264451364797,7.60337521026242,-3.40970518246396,0.000731443313678275,0.00143056041724895,-1.52643700939051,Down_in_Sepsis
PATL1,0.130875699367325,6.37005685625152,3.40614921020384,0.000740704537338344,0.00144819919322872,-1.53811402505745,Up_in_Sepsis
AEBP1,-0.129045165205432,4.84005724598177,-3.40611234907904,0.000740801109380197,0.00144819919322872,-1.5382350093035,Down_in_Sepsis
TNFRSF10C,-0.223535460903832,7.78165132158156,-3.40447104734715,0.000745113063284426,0.00145629534862981,-1.54362079426848,Down_in_Sepsis
RNF111,0.174579779362079,6.13159647331408,3.40249302711248,0.0007503407415548,0.00146617713878278,-1.55010827805369,Up_in_Sepsis
PAOX,-0.104817779066555,4.6790799989924,-3.40140236842028,0.000753237840512561,0.00147150146290434,-1.5536839033963,Down_in_Sepsis
ARSG,-0.209448379010083,5.54673477149848,-3.3986265150728,0.00076065843734345,0.00148565829255669,-1.56277946842558,Down_in_Sepsis
RPS3,-0.271182405310519,10.7860945997705,-3.39849472954884,0.000761012425095651,0.00148600985888019,-1.56321111453879,Down_in_Sepsis
GTF2E1,0.217149749941253,5.96123866930395,3.39839586591774,0.000761278082553904,0.00148618882356409,-1.56353491909423,Up_in_Sepsis
FARS2,-0.141158415841122,4.87012578978825,-3.39829381751066,0.00076155238857873,0.00148627545692084,-1.56386914542919,Down_in_Sepsis
FDFT1,0.146989617276799,8.05829699587689,3.39824989064859,0.000761670492324376,0.00148627545692084,-1.56401301068655,Up_in_Sepsis
TACO1,0.152399408382479,5.54915202342857,3.39654709003313,0.000766261907895996,0.00149477005712316,-1.56958853278349,Up_in_Sepsis
FAM120AOS,0.127408184277517,5.82809444891033,3.39647707871762,0.000766451237121028,0.00149477005712316,-1.56981771683626,Up_in_Sepsis
DYNC1H1,-0.16395907297526,5.44463928993454,-3.39644102712292,0.000766548747242647,0.00149477005712316,-1.56993573105034,Down_in_Sepsis
TCP11L2,0.20357572178222,5.5815039442512,3.39529648817443,0.000769650446493735,0.00150047579628007,-1.57368175095823,Up_in_Sepsis
C11orf24,-0.133031985060182,5.10480664878419,-3.39306902480311,0.000775720454046293,0.00151196449064568,-1.58096875669332,Down_in_Sepsis
SRRM2,-0.206241926695045,7.50425024493237,-3.39276445517064,0.000776553890497144,0.00151324361823776,-1.58196479069146,Down_in_Sepsis
NDUFC1,0.175464797308638,6.98815627685715,3.39207228547374,0.000778451077469802,0.00151659458318193,-1.58422808324635,Up_in_Sepsis
