gene_symbol,global_logFC,global_adjP,global_direction,n_dataset_tested,n_direction_consistent,direction_consistency,mean_auc,median_auc,min_auc,max_auc,n_auc_ge_070,n_auc_ge_075,n_auc_ge_080,n_wilcox_p_lt_005,immune_GO_keyword_hit,score_direction,score_auc,score_min_auc,score_logfc,score_p,score_go,priority_score,passes_screening,selection_order
PGLYRP1,1.86175390369296,5.10865111515769e-41,Up_in_Sepsis,6,6,1,0.854217042945908,0.905679734219269,0.565873015873016,0.995714285714286,5,5,4,5,TRUE,1,0.938526554693682,0.775,0.396958806725962,0.290374815265869,1,0.786389268943586,TRUE,11
VSIG4,2.00130991995618,2.3001775550076e-31,Up_in_Sepsis,6,6,1,0.84482191546104,0.900299003322259,0.593650793650794,0.967914438502673,5,5,4,5,TRUE,1,0.926150873710125,0.81304347826087,0.438743413081954,0.0372986799880265,1,0.769343163813264,TRUE,12
TCN1,2.47802732192581,2.08383897092082e-54,Up_in_Sepsis,6,6,1,0.882187077208144,0.903408776844071,0.623015873015873,1,5,5,5,5,FALSE,1,0.975369931399972,0.853260869565217,0.581477847022673,0.641394032355995,0,0.821961190143775,TRUE,13
ANKRD22,2.679264439766,6.9537873272761e-50,Up_in_Sepsis,6,6,1,0.863082668519604,0.915513178294573,0.571428571428571,1,5,5,4,5,FALSE,1,0.950204752141929,0.782608695652174,0.641730453669936,0.522809157089411,0,0.800993213749836,TRUE,14
TP53I3,1.52113548879156,6.91585248090127e-61,Up_in_Sepsis,6,6,1,0.891300990887311,0.921909617180206,0.628571428571429,1,5,5,5,5,FALSE,1,0.987375185015393,0.860869565217391,0.294973906573662,0.811248755459481,0,0.800713951819224,TRUE,15
ZDHHC19,2.41256100967882,6.15804369658615e-44,Up_in_Sepsis,6,6,1,0.875650603619414,0.932848179271709,0.565079365079365,0.985714285714286,5,5,5,5,FALSE,1,0.966759796835873,0.773913043478261,0.561876513020279,0.366896089723288,0,0.777085981497872,TRUE,16
DAAM2,2.25371727818916,1.07980997869469e-34,Up_in_Sepsis,6,6,1,0.840285211965923,0.843239202657807,0.680952380952381,0.973066666666667,5,5,4,6,FALSE,1,0.920174925511127,0.932608695652174,0.514316952564685,0.124556780615968,0,0.755547002947464,TRUE,17
ATP8B4,1.50586744774706,8.04848642373036e-47,Up_in_Sepsis,6,6,1,0.867933564818927,0.908312162074132,0.601587301587302,0.983065953654189,5,5,5,5,FALSE,1,0.956594569116891,0.823913043478261,0.290402487139703,0.442496262708305,0,0.748375326598592,TRUE,18
UBE2C,1.24947384397009,3.89895074854973e-47,Up_in_Sepsis,6,6,1,0.871699317321479,0.941346235463883,0.585714285714286,0.988533333333334,5,5,5,5,FALSE,1,0.961554986280966,0.802173913043478,0.213635421893241,0.450748218087587,0,0.735912717933556,TRUE,19
CCNA1,1.72130165399814,1.6952134371619e-39,Up_in_Sepsis,6,6,1,0.866458672057031,0.908547899159664,0.587301587301587,0.989304812834225,5,5,5,5,FALSE,1,0.954651774584769,0.804347826086956,0.354905858222169,0.250502243143181,0,0.735333809336118,TRUE,20
FOLR3,1.78015161331748,5.15214348556505e-35,Up_in_Sepsis,6,6,1,0.823399787464904,0.845797342192691,0.632539682539683,0.92602495543672,5,5,4,5,FALSE,1,0.897932691200509,0.866304347826087,0.372526183379537,0.132981576787515,0,0.718502544719748,TRUE,21
HK3,1.55728356755882,1.46175166752652e-39,Up_in_Sepsis,6,6,1,0.854494234903264,0.870779623477298,0.561904761904762,1,5,5,5,5,FALSE,1,0.938891684303788,0.769565217391304,0.305797038977833,0.252189271112823,0,0.718190770857789,TRUE,22
CEP55,1.53013437706946,7.11156762906528e-35,Up_in_Sepsis,6,6,1,0.871023931057037,0.904583006535948,0.590476190476191,0.996434937611408,5,5,5,5,FALSE,1,0.960665337368497,0.808695652173913,0.297668272709941,0.129311912640657,0,0.717085381207193,TRUE,23
SIGLEC5,1.16657399808018,2.8675702241913e-40,Up_in_Sepsis,6,6,1,0.843179238808514,0.880448504983389,0.634920634920635,0.982174688057041,5,4,4,5,FALSE,1,0.923987066753429,0.869565217391304,0.188814296152958,0.270733493403678,0,0.713026396398036,TRUE,24
NDUFAF1,0.852733575581814,5.88202127717688e-36,Up_in_Sepsis,6,6,1,0.826660842020623,0.813475777908063,0.609523809523809,0.999108734402852,5,4,4,5,FALSE,1,0.902228297717457,0.834782608695652,0.0948470214784032,0.157689256610576,0,0.675881859502403,TRUE,25
