gene_symbol,dataset,n_control,n_sepsis,mean_control,mean_sepsis,median_control,median_sepsis,dataset_logFC,dataset_direction,auc,wilcox_p
UBL5,GSE236713,30,125,-0.305689681566667,-0.036063365632,-0.338374385,-0.012788773,0.269626315934667,Up_in_Sepsis,0.685333333333334,0.001658226942731
UBL5,GSE54514,18,35,8.73538888827778,8.72563792641429,8.7294416415,8.594999552,-0.00975096186349056,Down_in_Sepsis,0.496825396825397,0.977746942500812
UBL5,GSE57065,25,28,7.312528,8.41778392857143,7.42648,8.493445,1.10525592857143,Up_in_Sepsis,0.935714285714286,1.17043442289857e-09
UBL5,GSE65682,42,51,8.67088171433333,9.09062276287255,8.6609331285,9.12697465,0.419741048539215,Up_in_Sepsis,0.765172735760971,1.18083502950546e-05
UBL5,GSE95233,22,51,7.16289955272727,8.86143234941176,7.16524337,8.82787972,1.69853279668449,Up_in_Sepsis,1,1.60188706567253e-11
ATP6V0E2,GSE137340,14,43,7.13425452557143,7.38404160853488,7.110722784,7.56056686,0.249787082963455,Up_in_Sepsis,0.602990033222591,0.257449737936608
ATP6V0E2,GSE236713,30,125,1.66494745333333,-0.296616540464,1.7665446,-0.26023197,-1.96156399379733,Down_in_Sepsis,0.00746666666666667,6.11441610250757e-17
ATP6V0E2,GSE54514,18,35,8.105202304,7.94025847577143,8.071685791,7.826755524,-0.164943828228572,Down_in_Sepsis,0.380952380952381,0.163232997664367
ATP6V0E2,GSE57065,25,28,6.9217936,5.51417464285714,6.89093,5.489855,-1.40761895714286,Down_in_Sepsis,0,2.21254562465821e-15
ATP6V0E2,GSE65682,42,51,2.74582778011905,2.61545497937255,2.7038871065,2.56726073166667,-0.130372800746497,Down_in_Sepsis,0.351540616246499,0.0142421133926609
ATP6V0E2,GSE95233,22,51,8.33333308954546,6.95787031431373,8.23770905,6.90399613,-1.37546277523173,Down_in_Sepsis,0.0142602495543672,5.9097281654302e-11
YIPF1,GSE137340,14,43,7.72299529221429,9.0579410965,7.35664632575,9.0819028485,1.33494580428571,Up_in_Sepsis,0.86046511627907,1.79643132928885e-05
YIPF1,GSE236713,30,125,-0.921013183666667,0.151742949984,-0.933890835,0.16913533,1.07275613365067,Up_in_Sepsis,0.9568,8.75825730165772e-15
YIPF1,GSE54514,18,35,9.39998727377778,9.38890248031429,9.39851570125,9.3943080905,-0.0110847934634926,Down_in_Sepsis,0.50952380952381,0.918534356570284
YIPF1,GSE57065,25,28,6.268358,7.12745535714286,6.24274,7.099035,0.859097357142857,Up_in_Sepsis,0.972857142857143,4.61758271866169e-12
YIPF1,GSE65682,42,51,7.66575859009524,7.75471376789216,7.7277537765,7.8651088705,0.0889551777969189,Up_in_Sepsis,0.584033613445378,0.165826638185137
YIPF1,GSE95233,22,51,6.33195479636364,7.35878572823529,6.275804545,7.39298402,1.02683093187166,Up_in_Sepsis,0.974153297682709,1.66139807131073e-10
BACH2,GSE137340,14,43,4.60354495119643,4.73413959451163,4.59973057875,4.636813636,0.1305946433152,Up_in_Sepsis,0.56312292358804,0.49123487062771
