gene_symbol,global_logFC,global_adjP,global_direction,n_dataset_tested,n_direction_consistent,direction_consistency,mean_auc,median_auc,min_auc,max_auc,n_auc_ge_070,n_auc_ge_075,n_auc_ge_080,n_wilcox_p_lt_005,immune_GO_keyword_hit,score_direction,score_auc,score_min_auc,score_logfc,score_p,score_go,priority_score,passes_screening
TP53I3,1.52113548879156,6.91585248090127e-61,Up_in_Sepsis,6,6,1,0.891300990887311,0.921909617180206,0.628571428571429,1,5,5,5,5,FALSE,1,0.987375185015393,0.860869565217391,0.294973906573662,0.811248755459481,0,0.800713951819224,TRUE
ITGA7,1.80168821172615,2.05665066318847e-37,Up_in_Sepsis,6,6,1,0.865602709131574,0.894576012223071,0.666666666666667,0.997066666666667,5,5,4,6,TRUE,1,0.953524262039966,0.913043478260869,0.378974477841139,0.195869523661202,1,0.799446924393411,TRUE
RNASE2,1.98114516992144,3.00578266599357e-49,Up_in_Sepsis,6,6,1,0.873020982675429,0.896485492801772,0.683333333333333,0.991428571428571,5,5,4,6,FALSE,1,0.963295942836781,0.935869565217391,0.43270586511355,0.506142621495332,0,0.794889359550209,TRUE
C3AR1,1.40566245053667,1.74747951891379e-41,Up_in_Sepsis,6,6,1,0.857632207818528,0.89985049833887,0.69281045751634,0.990196078431372,5,4,4,6,TRUE,1,0.943025162193993,0.948849104859335,0.260400008741049,0.302588752092053,1,0.794553790907461,TRUE
ADAM9,1.19538830528107,2.08731804572858e-43,Up_in_Sepsis,6,6,1,0.872334262170924,0.896524473975637,0.677777777777778,0.995714285714286,5,5,4,6,TRUE,1,0.962391363957751,0.928260869565217,0.197441616680215,0.352997722336589,1,0.792872554357799,TRUE
CLEC5A,1.71008112356672,1.99097934288197e-42,Up_in_Sepsis,6,6,1,0.850530984524418,0.868118715393134,0.611111111111111,0.996434937611408,5,5,4,5,TRUE,1,0.933671114127859,0.83695652173913,0.35154630798753,0.327319606491584,1,0.791108719346515,TRUE
LTF,2.37046304790238,4.61356113909754e-42,Up_in_Sepsis,6,6,1,0.82708838301588,0.888147525676938,0.50952380952381,0.97415329768271,5,4,4,5,TRUE,1,0.902791473786458,0.697826086956522,0.5492719201957,0.317751521690639,1,0.789677295377835,TRUE
MS4A4A,1.97298552375003,1.88184951215416e-58,Up_in_Sepsis,6,6,1,0.870645797957426,0.931143743078627,0.53968253968254,1,5,5,5,5,FALSE,1,0.960167243583433,0.739130434782608,0.430262777295441,0.747419341839795,0,0.788201089070717,TRUE
PGLYRP1,1.86175390369296,5.10865111515769e-41,Up_in_Sepsis,6,6,1,0.854217042945908,0.905679734219269,0.565873015873016,0.995714285714286,5,5,4,5,TRUE,1,0.938526554693682,0.775,0.396958806725962,0.290374815265869,1,0.786389268943586,TRUE
CA4,2.29741446838209,2.40536419438126e-52,Up_in_Sepsis,6,6,1,0.867295390094022,0.926466002214839,0.501587301587302,1,5,5,5,5,FALSE,1,0.955753936904085,0.686956521739131,0.527400371968336,0.587328091163602,0,0.777612524243706,TRUE
