seurat_cluster,score_name,n_cells,mean_score,median_score
17,CD8_T_NK_score,764,-0.476939355630132,-0.533449698679281
8,CD8_T_NK_score,3235,-0.20363264628331,-0.202876780400954
13,CD8_T_NK_score,1580,-0.28253483282458,-0.347563171641566
2,B_cell_score,5548,1.34550413425052,1.35697635808916
18,B_cell_score,524,0.197746682046829,0.172763705423513
3,B_cell_score,5161,-0.46195521884727,-0.514442061684865
0,B_cell_score,7730,-0.424258417371064,-0.433148298183713
9,B_cell_score,2578,-0.453919265083751,-0.51388039105055
7,B_cell_score,3375,-0.0668802099498113,-0.0747381434734834
1,B_cell_score,6240,-0.495837585369257,-0.536698784450182
10,B_cell_score,1862,-0.409804150158045,-0.438268913678957
4,B_cell_score,4948,-0.26333776027744,-0.303325378058113
20,B_cell_score,422,0.0383288941944856,0.00364094631427631
21,B_cell_score,317,0.823677583514167,0.833065844762294
22,B_cell_score,308,-0.216715371510767,-0.448966505935204
11,B_cell_score,1739,0.533949525369057,0.522170607372804
24,B_cell_score,117,-0.224433624067787,-0.238144370895579
5,B_cell_score,4780,0.995244257136944,1.00060542784419
23,B_cell_score,236,-0.0512525754656787,-0.140348466560769
12,B_cell_score,1615,-0.268292185475547,-0.286929527459817
19,B_cell_score,440,-0.475293143775005,-0.491413522836829
16,B_cell_score,783,-0.438147685675862,-0.462329958413229
6,B_cell_score,3627,-0.404534809383963,-0.452122450299042
14,B_cell_score,912,-0.0672054320788221,-0.0627446120168882
15,B_cell_score,902,-0.491517017909306,-0.521592053319442
17,B_cell_score,764,-0.363719041945371,-0.369189099679667
8,B_cell_score,3235,-0.439265265069153,-0.461313525041143
13,B_cell_score,1580,-0.204696196284247,-0.225919685944047
2,Plasma_score,5548,0.433071945097097,0.489229504423946
18,Plasma_score,524,0.0719475008110447,-0.235861954015077
3,Plasma_score,5161,-0.14320747486874,-0.209723565128622
0,Plasma_score,7730,-0.152289716773885,-0.230095144185344
9,Plasma_score,2578,-0.149512693047808,-0.218046067425582
7,Plasma_score,3375,-0.231775305393253,-0.28786930569047
1,Plasma_score,6240,-0.127275671931177,-0.200010528276199
10,Plasma_score,1862,-0.148030411775127,-0.199219650723822
4,Plasma_score,4948,-0.185992423140897,-0.200990019950508
20,Plasma_score,422,-0.281661033148902,-0.331422704710997
21,Plasma_score,317,0.319852817338299,0.373424325233131
22,Plasma_score,308,-0.106606545731222,-0.155206587708413
11,Plasma_score,1739,0.212996724080467,0.241942311904199
24,Plasma_score,117,-0.0420660972868584,-0.0969136118307771
5,Plasma_score,4780,0.388950875822231,0.434198016806295
23,Plasma_score,236,1.21673155478151,1.11053474657219
12,Plasma_score,1615,-0.0555960847923709,-0.055319820036794
19,Plasma_score,440,-0.223232843379522,-0.226273968163663
16,Plasma_score,783,-0.238914619354796,-0.240536190511851
6,Plasma_score,3627,-0.293810961747226,-0.330010327475856
14,Plasma_score,912,-0.0775238103986122,-0.0833021274615608
15,Plasma_score,902,-0.232886846322569,-0.277806757422119
17,Plasma_score,764,-0.23745475112412,-0.270270384106162
8,Plasma_score,3235,-0.260630132855858,-0.283149395403887
13,Plasma_score,1580,-0.195050208678886,-0.228840938734963
2,Monocyte_score,5548,-0.726437466091895,-0.782633223966758
18,Monocyte_score,524,0.250019448579387,0.0592255773535244
3,Monocyte_score,5161,-0.840087793941684,-0.878577699678394
0,Monocyte_score,7730,-0.781785316383904,-0.855456972541422
9,Monocyte_score,2578,-0.786348114728852,-0.839623932080146
7,Monocyte_score,3375,2.2651992148233,2.34636579107483
1,Monocyte_score,6240,-0.727480049382493,-0.787119821631949
10,Monocyte_score,1862,2.28958933123994,2.35434084975924
4,Monocyte_score,4948,-0.357998167581411,-0.490247119530729
20,Monocyte_score,422,0.872704428384104,0.85237462306709
21,Monocyte_score,317,-0.822458427540066,-0.923438061510574
22,Monocyte_score,308,-0.721298456381938,-0.831393134441256
11,Monocyte_score,1739,-0.727806725311452,-0.79024612158572
24,Monocyte_score,117,-0.765347798569089,-0.803576591642204
5,Monocyte_score,4780,-0.747329959384325,-0.777025648377822
23,Monocyte_score,236,-0.830333339788568,-0.924357931634732
12,Monocyte_score,1615,-0.771407712029769,-0.80248908346205
19,Monocyte_score,440,2.23364669621661,2.22374498881087
16,Monocyte_score,783,1.98902450067104,2.04200774057798
6,Monocyte_score,3627,2.38971519970832,2.41064526602998
14,Monocyte_score,912,-0.077334077421437,-0.098070586651019
15,Monocyte_score,902,2.16884470220959,2.18479348979137
17,Monocyte_score,764,0.897460620799873,0.866672348638949
8,Monocyte_score,3235,2.529522762072,2.59896647859908
13,Monocyte_score,1580,2.01738362798045,2.16618336307525
2,Classical_monocyte_score,5548,-1.049492322368,-1.10697607948128
18,Classical_monocyte_score,524,-0.146209673034902,-0.40262873672885
3,Classical_monocyte_score,5161,-1.14315613705872,-1.176551164451
0,Classical_monocyte_score,7730,-1.04010552577371,-1.16342336850482
9,Classical_monocyte_score,2578,-1.07842273610267,-1.13112519132965
7,Classical_monocyte_score,3375,2.01752632438629,2.12298741410183
1,Classical_monocyte_score,6240,-1.00959417770699,-1.07892483690093
10,Classical_monocyte_score,1862,2.16097033258444,2.19844340708037
4,Classical_monocyte_score,4948,-0.480500945939426,-0.618318126286052
20,Classical_monocyte_score,422,-0.253112709930713,-0.288101818949655
21,Classical_monocyte_score,317,-1.13029189965619,-1.26472930138395
22,Classical_monocyte_score,308,-0.971193543389198,-1.10723416415858
11,Classical_monocyte_score,1739,-1.00577252005716,-1.0794240367576
24,Classical_monocyte_score,117,-1.11180101729679,-1.17515598952601
5,Classical_monocyte_score,4780,-1.10346501056574,-1.13677981131494
23,Classical_monocyte_score,236,-1.0896763694191,-1.20445723260999
12,Classical_monocyte_score,1615,-1.07933401700366,-1.16488909097748
19,Classical_monocyte_score,440,2.31968229714287,2.31725525504143
16,Classical_monocyte_score,783,1.95889777479767,2.05387599306677
6,Classical_monocyte_score,3627,2.04058508429425,2.10524105825503
14,Classical_monocyte_score,912,-0.0985744225403569,-0.104999225971013
15,Classical_monocyte_score,902,2.11015851539633,2.15273009306379
17,Classical_monocyte_score,764,0.0153600540594849,-0.0486724516963828
8,Classical_monocyte_score,3235,2.4325335683006,2.59588079766155
13,Classical_monocyte_score,1580,1.71218721317791,1.9264068874339
2,Nonclassical_monocyte_score,5548,-0.46382058194084,-0.488094060005501
18,Nonclassical_monocyte_score,524,-0.0747574840908457,0.0101897110077558
3,Nonclassical_monocyte_score,5161,-0.430790969727128,-0.466966524187637
