copy_group,source,target,copied,reason,size_mb
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/17_nested_LODO_calibration_threshold_DCA.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/17_nested_LODO_calibration_threshold_DCA.R,TRUE,copied,0.03127765655517578
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/18_prepare_scRNA_dataset.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/18_prepare_scRNA_dataset.R,TRUE,copied,0.01747608184814453
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/18a_scan_local_scRNA_files.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/18a_scan_local_scRNA_files.R,TRUE,copied,0.01671123504638672
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/18b_download_or_prepare_GSE167363_scRNA.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/18b_download_or_prepare_GSE167363_scRNA.R,TRUE,copied,0.014811515808105469
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/18c_reorganize_GSE167363_10x_MEX.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/18c_reorganize_GSE167363_10x_MEX.R,TRUE,copied,0.007353782653808594
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/19_scRNA_signature_localization_module_score.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/19_scRNA_signature_localization_module_score.R,TRUE,copied,0.02306842803955078
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/20_freeze_final_results_and_tables.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/20_freeze_final_results_and_tables.R,TRUE,copied,0.0234832763671875
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/20_update_manuscript_tables_and_results_after_nested_LODO_scRNA.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/20_update_manuscript_tables_and_results_after_nested_LODO_scRNA.R,TRUE,copied,0.02733325958251953
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/21_final_sanity_check_before_manuscript.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/21_final_sanity_check_before_manuscript.R,TRUE,copied,0.021224021911621094
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/22_prepare_BMC_Genomics_manuscript_framework.R.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/22_prepare_BMC_Genomics_manuscript_framework.R.R,TRUE,copied,0.029817581176757812
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/23_BMC_Genomics_methods_results_draft.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/23_BMC_Genomics_methods_results_draft.R,TRUE,copied,0.02961444854736328
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/24_BMC_Genomics_background_discussion_draft.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/24_BMC_Genomics_background_discussion_draft.R,TRUE,copied,0.027109146118164062
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/25_BMC_Genomics_full_manuscript_assembly.R.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/25_BMC_Genomics_full_manuscript_assembly.R.R,TRUE,copied,0.014711380004882812
